Row.names	cluster	10062_at	10437_at	1075_at	10859_at	10935_at	1116_at	1213_at	1291_at	140885_at	1437_at	1508_at	1520_at	1536_at	1958_at	2170_at	23157_at	2357_at	2512_at	2625_at	2956_at	2980_at	30009_at	3055_at	3458_at	3597_at	3717_at	5306_at	5359_at	55509_at	558_at	64065_at	6648_at	6772_at	6948_at	7070_at	7111_at	7299_at	7453_at	847_at	8566_at	8804_at	9056_at	9114_at	9246_at	940_at	943_at	958_at	966_at	hist
AITL..198	AITL..198	1	8.37111923054061	10.1323152114416	9.89600650517395	5.96547967233759	10.3460285738131	9.58416653311664	11.0825278540801	5.88092411111025	6.90114442054195	4.92623471081455	9.81265203502118	9.77850011030193	7.77224766604833	6.88226995489931	5.08055651059181	7.80800302063294	8.01837708315732	12.7346104369263	7.14966590637303	7.399510978627	4.17720928219175	5.9825374390887	8.29059822429999	6.78614399223421	7.10282132689009	7.00264073859745	7.22423409309826	9.89483910137705	7.36960518201371	5.33867374614603	5.87911866844627	7.44039333001452	10.2701887613486	8.00952321796397	7.68145634684158	5.2041840413769	2.84554726179786	10.0413374978482	7.79026649215071	7.06445647940774	10.2021658245732	8.66912872452249	9.47638073876819	10.1875380190941	6.92605830929873	6.92189286904294	6.60419633174129	8.89535541793445	AITL
AITL..199	AITL..199	1	8.29297475601729	10.842103073678	9.66589366813503	7.50227580364659	10.1649459275169	8.2602812870621	10.966243231437	5.47190507457188	6.09713924641242	4.43425355782945	8.89875235501639	8.85698512836591	6.990288742392	6.88647055989434	4.04045190262951	8.25615342298643	8.07273462298144	12.3990252410797	6.46212480215582	7.42159108850296	4.58366144607612	5.20824397018848	7.21724560093381	6.37931533380619	6.29485329403533	6.37655621142512	7.40133737617095	9.42243582586447	6.30502113291899	5.36453748151331	5.63128339474977	7.30796917462029	9.63292367937731	6.67780815726976	7.51125034489521	4.94581651255975	3.58617747600381	9.65775144186419	8.00186325408039	7.05829170930128	9.0874262851568	8.1221836781999	9.60383496724793	9.35986988417131	7.12953102073651	5.61708239216317	7.10216028189217	8.55577438747287	AITL
AITL..2	AITL..2	1	8.24187009095415	10.2189164362471	9.17343598656151	5.89407468848948	10.0535968994876	8.72869252676144	10.833849263603	5.87273636282826	6.49878660326257	4.57644288649241	7.34012168924405	7.30408319898546	5.55884621661064	7.87106852024298	4.03185429359366	7.51139016621759	7.49226247389092	12.1116557199404	6.20499731115429	7.37063808916227	5.83820423165703	3.73600609541371	6.51841490971335	4.25633693482843	5.64131481412779	6.00007583355511	7.15992343651985	7.84504494489836	8.55393635847777	5.25171200496478	5.01971393649826	6.64806398206589	8.70765039483309	7.33986106230509	8.27248980422027	6.93237292004077	3.9369078409787	8.56987175603912	6.39737150563665	7.41827830811369	8.91893566366102	8.19477308659204	8.55440191094582	8.65587782304321	5.10316333541968	7.02340350264279	6.94296265935562	8.48543294415171	AITL
AITL..206	AITL..206	1	8.89485247948255	11.2634243969134	10.5962417598811	8.22152444138032	10.6737319541522	10.0993706450025	11.0746014281175	6.08701251871336	6.35951455316865	4.3506310268905	10.1379853909627	10.236458892809	7.87147848948889	6.18300972491649	4.49655200836354	7.32251983043688	7.54056640655628	12.8274787603443	6.52635654936676	7.92103240633953	4.7077430351955	5.67153408533957	8.03719291079302	7.67374970838551	7.16176865237655	6.76840166609297	7.403022399614	9.75568364352894	7.42140846792423	5.87024873700991	5.27082809095252	7.03909743118433	10.9360801404105	7.9144481743594	7.38890141017226	5.61589754855568	3.31597106470648	10.794379725026	8.59664523893875	6.95107371138498	10.2462393629905	8.68192706001288	9.96344541546128	10.0560608189499	6.0515249728119	5.69917481516424	7.68835040620599	8.53859614343776	AITL
AITL..207	AITL..207	1	8.0667602011193	10.5728746919805	10.6119548543436	8.61475597366366	9.65832152709872	7.40176235609009	11.1150477166848	6.24545090630345	6.3564049866254	4.41411730068298	9.41093037020401	9.66879380721465	7.16947909151818	7.92898406731762	4.71310745286123	7.10752126606951	7.97215222545136	12.7458373416797	6.40302817797001	6.92343861607218	4.78983658282867	5.5461218116905	7.80341908452084	7.55159979909673	6.83232042047719	7.02644281711762	7.1641376875317	10.1441424213335	8.02678151151149	6.6207795002983	5.09491198253946	7.26923062988573	10.7576612570242	7.14668545653317	8.22373395866533	5.66583875467759	3.30897408694632	10.2028048222506	8.16754464261996	6.78463938560773	9.70399239361096	8.16990367601543	9.34285815479668	9.69593622163162	6.08521554519749	5.37336121963555	7.43313278935632	9.23055232514667	AITL
AITL..210	AITL..210	1	6.21833342953686	11.0659539795228	9.22996447132763	7.03447679926934	10.3745649958418	10.2174102044082	10.8406254224413	5.51055065073029	5.58098360442106	4.35759127855126	9.39910083568076	9.91433332007263	7.26336588506871	6.29253614288113	3.60572271627393	8.42654247619775	7.33041856529433	12.6145693775234	4.82727495638156	8.06780300181948	4.15447596901262	4.94898469241222	6.81085379064848	8.97404841294035	6.1918812669678	7.03673639083555	7.13243515411169	10.1532455167372	7.01832904299479	5.90918006884286	8.41380239496414	7.87777589815959	11.0475263955055	7.42717926146601	7.35014089546999	4.83735985676434	3.35407652942869	11.5380917234881	8.11440224561872	6.55502987210399	9.37840524037207	8.51660499836278	9.71280446592142	10.5095343334791	6.46790288042058	5.09004521419875	7.24488778606164	8.69015722134537	AITL
AITL..222	AITL..222	1	9.39434495253661	11.8379807783782	11.1016590765886	8.71730662400731	10.6354252432218	10.3501765351097	11.0487951281633	6.08624372591714	7.30141837967861	4.47084248455142	10.4231570536093	10.6949327739577	8.46933784604641	6.68918044845857	4.54400976701559	7.31185760093441	8.7719225126766	12.6799085180567	7.15155146491044	7.55702022608687	4.84110013365103	6.23249709734166	8.97951055647453	8.61413619100012	7.4631459938097	7.3540247298765	7.79271336277757	10.4234186914958	8.02752212421569	5.65969692128709	5.47850391965827	8.32469546209842	11.1378208511034	7.78373194873096	7.9723876046644	5.24710892936793	2.88014431968283	11.4862138373723	8.67772558088531	7.22804633557777	10.3617586333395	9.00604195922845	9.93530680395113	10.2556093904861	6.58721641673629	5.39244892823461	8.15645432262425	8.55884216767066	AITL
AITL..223	AITL..223	1	7.97585351415042	10.9395115143448	10.0802004302099	8.2300649014395	10.3886045622824	8.99947065294769	11.0571235560093	6.16208460125819	6.51729459465178	4.20591806259601	9.44936500201057	9.53053085547793	7.18241556406975	6.45972245749477	4.16324171533293	7.40343756177766	8.27637825996804	12.6477975277409	7.02614781038155	7.31677840009775	4.34167200745195	5.20458886619355	7.80709497075641	6.00918217191198	7.39205359888346	6.88920501163197	7.32615977590712	9.49721022568666	7.99326056835863	5.99447335321051	5.38663079572561	7.62846066672105	10.0377193512495	6.87413448745405	8.34619685825313	5.36341225361054	2.94564108387818	10.824219354483	8.02927283933707	7.52554479245492	9.53183914902045	8.8985652065308	9.82662668301795	9.80358311708643	7.50657519007915	5.71794089319718	7.45877798108908	8.98160744275931	AITL
AITL..225	AITL..225	1	7.52162368863623	9.79679741364915	9.01485357969966	7.21670225699834	9.28218076825296	6.51876601830568	10.6875199132016	4.83988996715559	5.87447128232076	4.58440364473029	8.25421184327579	9.30199624716075	6.7667533562567	6.82757429032739	3.9036437915101	8.47096374252246	6.47914616101987	12.3257841372392	7.23845044328446	7.04210594446957	4.41454473517471	5.3283235890965	7.01746483183158	6.31680434707127	6.11584666026273	6.79416979195217	7.19866299010225	8.86455411557028	6.50795603891338	5.45621748435926	5.10798956335563	6.9483795406567	10.794726076318	6.10104250840183	7.14741496975559	5.19614713037628	3.32505846790566	9.61415696831205	8.06645637114228	6.32070659051509	8.09077545280578	7.94128717351282	9.21345798701496	9.76907779799015	6.40553630208754	6.19128821886167	7.35762615741296	7.58061502782122	AITL
AITL..229	AITL..229	1	8.10048204172443	10.7148692043643	8.93516184053588	7.84102335123021	10.6228893717864	9.17840499576238	11.1816704746017	5.17682611491286	6.26403778208686	5.10090314460354	8.95797842319079	8.95396089953057	6.99321522939156	7.69587138141928	3.92696077133917	8.09703217507418	7.59849087942172	11.9506834808378	5.40097501601067	7.7296430814933	4.73423008061343	6.09044564995068	7.09306427546132	4.8755375825919	5.91759878957399	6.53704131425324	6.78164112625733	9.26736643961311	6.86903774681654	5.44640219841972	4.07336620982664	6.8061927092082	10.2461080571597	6.46194812943552	8.24474166986841	5.38282900119274	3.24216468255266	9.89830518460412	7.68996738759728	6.24574195558508	9.23443192110338	8.19667831481486	8.59967969886019	9.67148329832102	4.89789423544168	5.75702373239629	7.6622569766229	7.92904027490082	AITL
